country,shocked_region,shock_severity,impact_level
Haiti,NAF,High,Medium Impact
Holy See,NAF,High,Medium Impact
Honduras,NAF,High,Low Impact
Hungary,NAF,High,Low Impact
Croatia,NAF,High,Low Impact
Iceland,NAF,High,Medium Impact
Armenia,ALL,High,Serious Impact
Australia,ALL,High,Low Impact
India,ALL,High,Low Impact
Indonesia,ALL,High,Low Impact
Iran (Islamic Republic of),ALL,High,Low Impact
Iraq,ALL,High,Low Impact
Ireland,ALL,High,Low Impact
Israel,ALL,High,No Impact
Italy,ALL,High,Low Impact
Cote d'Ivoire,ALL,High,Medium Impact
Kazakhstan,ALL,High,Serious Impact
Jamaica,ALL,High,Serious Impact
Austria,ALL,High,Medium Impact
Japan,ALL,High,Low Impact
Jordan,ALL,High,Low Impact
Kyrgyzstan,ALL,High,Low Impact
Kenya,ALL,High,Low Impact
Cambodia,ALL,High,Serious Impact
Democratic People's Republic of Korea,ALL,High,Medium Impact
Republic of Korea,ALL,High,Low Impact
Kuwait,ALL,High,Medium Impact
Latvia,ALL,High,Serious Impact
Bahamas,ALL,High,Serious Impact
Lao People's Democratic Republic,ALL,High,Serious Impact
Lebanon,ALL,High,Low Impact
Lesotho,ALL,High,Serious Impact
Liberia,ALL,High,Medium Impact
Libya,ALL,High,Low Impact
Lithuania,ALL,High,Serious Impact
Marshall Islands,ALL,High,Medium Impact
Madagascar,ALL,High,Medium Impact
Bahrain,ALL,High,Medium Impact
Malawi,ALL,High,Serious Impact
Malaysia,ALL,High,Low Impact
Maldives,ALL,High,Medium Impact
Mali,ALL,High,Low Impact
Malta,ALL,High,Serious Impact
Mauritania,ALL,High,Serious Impact
Mauritius,ALL,High,Medium Impact
Mexico,ALL,High,Serious Impact
Barbados,ALL,High,Serious Impact
Mongolia,ALL,High,Serious Impact
Montserrat,ALL,High,Medium Impact
Morocco,ALL,High,Low Impact
Mozambique,ALL,High,Low Impact
Micronesia (Federated States of),ALL,High,Medium Impact
Republic of Moldova,ALL,High,Serious Impact
Namibia,ALL,High,Serious Impact
Nauru,ALL,High,Medium Impact
Nepal,ALL,High,Medium Impact
Netherlands,ALL,High,Low Impact
,ALL,High,Serious Impact
New Caledonia,ALL,High,Medium Impact
The former Yugoslav Republic of Macedonia,ALL,High,Medium Impact
Vanuatu,ALL,High,Medium Impact
New Zealand,ALL,High,Low Impact
Nicaragua,ALL,High,Medium Impact
Niger,ALL,High,Serious Impact
Nigeria,ALL,High,Low Impact
Bangladesh,ALL,High,Low Impact
Niue,ALL,High,Serious Impact
Norfolk Island,ALL,High,Serious Impact
Norway,ALL,High,Low Impact
Northern Mariana Islands,ALL,High,Serious Impact
Pacific Islands Trust Territory,ALL,High,Serious Impact
Pakistan,ALL,High,Low Impact
Panama,ALL,High,Medium Impact
Czech Republic,ALL,High,Serious Impact
Czechoslovakia,ALL,High,Serious Impact
Papua New Guinea,ALL,High,Serious Impact
Paraguay,ALL,High,Low Impact
Bermuda,ALL,High,Serious Impact
Peru,ALL,High,Low Impact
Philippines,ALL,High,Low Impact
Poland,ALL,High,Medium Impact
Portugal,ALL,High,Low Impact
Guinea-Bissau,ALL,High,Serious Impact
Timor-Leste,ALL,High,Serious Impact
Eritrea,ALL,High,Medium Impact
Qatar,ALL,High,Medium Impact
Bhutan,ALL,High,Medium Impact
Palau,ALL,High,Serious Impact
Zimbabwe,ALL,High,Serious Impact
Romania,ALL,High,Serious Impact
Rwanda,ALL,High,Low Impact
Russian Federation,ALL,High,Serious Impact
USSR,ALL,High,Serious Impact
Saint Helena,ALL,High,Medium Impact
Saint Kitts and Nevis,ALL,High,Serious Impact
Saint Lucia,ALL,High,Serious Impact
Bolivia (Plurinational State of),ALL,High,Low Impact
Saint Pierre and Miquelon,ALL,High,Serious Impact
Saint Vincent and the Grenadines,ALL,High,Serious Impact
Sao Tome and Principe,ALL,High,Medium Impact
Saudi Arabia,ALL,High,Low Impact
Senegal,ALL,High,Low Impact
Seychelles,ALL,High,Medium Impact
Sierra Leone,ALL,High,Medium Impact
Slovenia,ALL,High,Medium Impact
Slovakia,ALL,High,Serious Impact
Yugoslav SFR,ALL,High,Serious Impact
Afghanistan,ALL,High,Low Impact
Botswana,ALL,High,Medium Impact
Singapore,ALL,High,Serious Impact
Somalia,ALL,High,Medium Impact
South Africa,ALL,High,Low Impact
Spain,ALL,High,Low Impact
Western Sahara,ALL,High,Medium Impact
Suriname,ALL,High,Serious Impact
Tajikistan,ALL,High,Low Impact
Swaziland,ALL,High,Medium Impact
Brazil,ALL,High,Low Impact
Sweden,ALL,High,Low Impact
Switzerland,ALL,High,Medium Impact
Syrian Arab Republic,ALL,High,Low Impact
Turkmenistan,ALL,High,Low Impact
United Republic of Tanzania,ALL,High,Low Impact
Thailand,ALL,High,Low Impact
Togo,ALL,High,Medium Impact
Tonga,ALL,High,Medium Impact
Aruba,ALL,High,Serious Impact
Trinidad and Tobago,ALL,High,Low Impact
Oman,ALL,High,Serious Impact
Tunisia,ALL,High,Low Impact
Turkey,ALL,High,Low Impact
,ALL,High,Medium Impact
United Arab Emirates,ALL,High,Low Impact
Uganda,ALL,High,Serious Impact
Tuvalu,ALL,High,Medium Impact
United Kingdom,ALL,High,Low Impact
Belize,ALL,High,Medium Impact
Ukraine,ALL,High,Serious Impact
United States of America,ALL,High,Low Impact
Burkina Faso,ALL,High,Low Impact
Uruguay,ALL,High,Low Impact
Uzbekistan,ALL,High,Serious Impact
Venezuela (Bolivarian Republic of),ALL,High,Low Impact
Viet Nam,ALL,High,Low Impact
Ethiopia,ALL,High,Low Impact
Ethiopia PDR,ALL,High,Low Impact
British Virgin Islands,ALL,High,Medium Impact
Wallis and Futuna Islands,ALL,High,Medium Impact
Samoa,ALL,High,Medium Impact
Yemen,ALL,High,Low Impact
Yemen Ar Rp,ALL,High,Low Impact
Yemen Dem,ALL,High,Low Impact
Solomon Islands,ALL,High,Medium Impact
Democratic Republic of the Congo,ALL,High,Low Impact
Zambia,ALL,High,Low Impact
,ALL,High,Serious Impact
Belgium,ALL,High,Low Impact
Belgium-Luxembourg,ALL,High,Low Impact
Luxembourg,ALL,High,No Impact
Anguilla,ALL,High,Medium Impact
Brunei Darussalam,ALL,High,Medium Impact
Bulgaria,ALL,High,Serious Impact
Mayotte,ALL,High,Medium Impact
Serbia,ALL,High,Serious Impact
Serbia and Montenegro,ALL,High,Serious Impact
Montenegro,ALL,High,Medium Impact
Sudan,ALL,High,Low Impact
South Sudan,ALL,High,Serious Impact
Myanmar,ALL,High,Low Impact
Burundi,ALL,High,Medium Impact
,ALL,High,Medium Impact
Albania,ALL,High,Serious Impact
Antarctica,ALL,High,Medium Impact
Cameroon,ALL,High,Medium Impact
Canada,ALL,High,Serious Impact
Cape Verde,ALL,High,Serious Impact
China,ALL,High,Low Impact
Cayman Islands,ALL,High,Medium Impact
Central African Republic,ALL,High,Medium Impact
Sri Lanka,ALL,High,Medium Impact
Chad,ALL,High,Medium Impact
Algeria,ALL,High,Low Impact
Chile,ALL,High,Low Impact
Christmas Island,ALL,High,Medium Impact
Colombia,ALL,High,Low Impact
Comoros,ALL,High,Medium Impact
Congo,ALL,High,Low Impact
Cook Islands,ALL,High,Serious Impact
Costa Rica,ALL,High,Serious Impact
Cuba,ALL,High,Serious Impact
American Samoa,ALL,High,Medium Impact
Cyprus,ALL,High,Serious Impact
Azerbaijan,ALL,High,Serious Impact
Benin,ALL,High,Medium Impact
Denmark,ALL,High,Low Impact
Dominica,ALL,High,Medium Impact
Dominican Republic,ALL,High,Low Impact
Belarus,ALL,High,Serious Impact
Ecuador,ALL,High,Low Impact
Egypt,ALL,High,Low Impact
Andorra,ALL,High,Medium Impact
El Salvador,ALL,High,Low Impact
Equatorial Guinea,ALL,High,Medium Impact
Estonia,ALL,High,Serious Impact
Faroe Islands,ALL,High,Medium Impact
Falkland Islands (Malvinas),ALL,High,Medium Impact
Fiji,ALL,High,Serious Impact
Finland,ALL,High,Low Impact
France,ALL,High,Low Impact
Angola,ALL,High,Low Impact
French Polynesia,ALL,High,Serious Impact
Djibouti,ALL,High,Medium Impact
Georgia,ALL,High,Low Impact
Gabon,ALL,High,Medium Impact
Gambia,ALL,High,Medium Impact
Germany,ALL,High,Low Impact
Germany Fr,ALL,High,Low Impact
Germany Nl,ALL,High,Low Impact
Antigua and Barbuda,ALL,High,Medium Impact
Bosnia and Herzegovina,ALL,High,Low Impact
Ghana,ALL,High,Low Impact
Gibraltar,ALL,High,Medium Impact
Kiribati,ALL,High,Medium Impact
Greece,ALL,High,Serious Impact
Greenland,ALL,High,Medium Impact
Grenada,ALL,High,Medium Impact
Guam,ALL,High,Serious Impact
Guatemala,ALL,High,Medium Impact
Argentina,ALL,High,Low Impact
Guinea,ALL,High,Low Impact
Guyana,ALL,High,Serious Impact
Haiti,ALL,High,Medium Impact
Holy See,ALL,High,Medium Impact
Honduras,ALL,High,Low Impact
Hungary,ALL,High,Serious Impact
Croatia,ALL,High,Serious Impact
Iceland,ALL,High,Medium Impact
Armenia,ALL,Low,Low Impact
Australia,ALL,Low,Low Impact
India,ALL,Low,Low Impact
Indonesia,ALL,Low,Low Impact
Iran (Islamic Republic of),ALL,Low,No Impact
Iraq,ALL,Low,Low Impact
Ireland,ALL,Low,Low Impact
Israel,ALL,Low,No Impact
Italy,ALL,Low,Low Impact
Cote d'Ivoire,ALL,Low,Low Impact
Kazakhstan,ALL,Low,Low Impact
Jamaica,ALL,Low,Medium Impact
Austria,ALL,Low,Low Impact
Japan,ALL,Low,Low Impact
Jordan,ALL,Low,Low Impact
Kyrgyzstan,ALL,Low,Low Impact
Kenya,ALL,Low,Low Impact
Cambodia,ALL,Low,Medium Impact
Democratic People's Republic of Korea,ALL,Low,Medium Impact
Republic of Korea,ALL,Low,Low Impact
Kuwait,ALL,Low,Medium Impact
Latvia,ALL,Low,Serious Impact
Bahamas,ALL,Low,Medium Impact
Lao People's Democratic Republic,ALL,Low,Medium Impact
Lebanon,ALL,Low,Low Impact
Lesotho,ALL,Low,Medium Impact
Liberia,ALL,Low,Medium Impact
Libya,ALL,Low,Low Impact
Lithuania,ALL,Low,Serious Impact
Marshall Islands,ALL,Low,Medium Impact
Madagascar,ALL,Low,Medium Impact
Bahrain,ALL,Low,Low Impact
Malawi,ALL,Low,Low Impact
Malaysia,ALL,Low,Low Impact
Maldives,ALL,Low,Medium Impact
Mali,ALL,Low,Low Impact
Malta,ALL,Low,Serious Impact
Mauritania,ALL,Low,Low Impact
Mauritius,ALL,Low,Medium Impact
Mexico,ALL,Low,Low Impact
Barbados,ALL,Low,Medium Impact
Mongolia,ALL,Low,Medium Impact
Montserrat,ALL,Low,Medium Impact
Morocco,ALL,Low,Low Impact
Mozambique,ALL,Low,Low Impact
Micronesia (Federated States of),ALL,Low,Medium Impact
Republic of Moldova,ALL,Low,Low Impact
Namibia,ALL,Low,Low Impact
Nauru,ALL,Low,Medium Impact
Nepal,ALL,Low,Medium Impact
Netherlands,ALL,Low,Low Impact
,ALL,Low,Medium Impact
New Caledonia,ALL,Low,Medium Impact
The former Yugoslav Republic of Macedonia,ALL,Low,Medium Impact
Vanuatu,ALL,Low,Medium Impact
New Zealand,ALL,Low,Low Impact
Nicaragua,ALL,Low,Low Impact
Niger,ALL,Low,Low Impact
Nigeria,ALL,Low,Low Impact
Bangladesh,ALL,Low,Low Impact
Niue,ALL,Low,Medium Impact
Norfolk Island,ALL,Low,Medium Impact
Norway,ALL,Low,Low Impact
Northern Mariana Islands,ALL,Low,Medium Impact
Pacific Islands Trust Territory,ALL,Low,Medium Impact
Pakistan,ALL,Low,Low Impact
Panama,ALL,Low,Low Impact
Czech Republic,ALL,Low,Serious Impact
Czechoslovakia,ALL,Low,Serious Impact
Papua New Guinea,ALL,Low,Low Impact
Paraguay,ALL,Low,Low Impact
Bermuda,ALL,Low,Medium Impact
Peru,ALL,Low,Low Impact
Philippines,ALL,Low,Low Impact
Poland,ALL,Low,Medium Impact
Portugal,ALL,Low,Low Impact
Guinea-Bissau,ALL,Low,Medium Impact
Timor-Leste,ALL,Low,Medium Impact
Eritrea,ALL,Low,Low Impact
Qatar,ALL,Low,Medium Impact
Bhutan,ALL,Low,Medium Impact
Palau,ALL,Low,Medium Impact
Zimbabwe,ALL,Low,Low Impact
Romania,ALL,Low,Serious Impact
Rwanda,ALL,Low,Low Impact
Russian Federation,ALL,Low,Low Impact
USSR,ALL,Low,Low Impact
Saint Helena,ALL,Low,Medium Impact
Saint Kitts and Nevis,ALL,Low,Medium Impact
Saint Lucia,ALL,Low,Medium Impact
Bolivia (Plurinational State of),ALL,Low,Low Impact
Saint Pierre and Miquelon,ALL,Low,Medium Impact
Saint Vincent and the Grenadines,ALL,Low,Serious Impact
Sao Tome and Principe,ALL,Low,Medium Impact
Saudi Arabia,ALL,Low,Low Impact
Senegal,ALL,Low,Low Impact
Seychelles,ALL,Low,Medium Impact
Sierra Leone,ALL,Low,Medium Impact
Slovenia,ALL,Low,Medium Impact
Slovakia,ALL,Low,Serious Impact
Yugoslav SFR,ALL,Low,Serious Impact
Afghanistan,ALL,Low,Low Impact
Botswana,ALL,Low,Medium Impact
Singapore,ALL,Low,Low Impact
Somalia,ALL,Low,Medium Impact
South Africa,ALL,Low,Low Impact
Spain,ALL,Low,Low Impact
Western Sahara,ALL,Low,Medium Impact
Suriname,ALL,Low,Medium Impact
Tajikistan,ALL,Low,Low Impact
Swaziland,ALL,Low,Medium Impact
Brazil,ALL,Low,Low Impact
Sweden,ALL,Low,Low Impact
Switzerland,ALL,Low,Low Impact
Syrian Arab Republic,ALL,Low,Low Impact
Turkmenistan,ALL,Low,Low Impact
United Republic of Tanzania,ALL,Low,Low Impact
Thailand,ALL,Low,Low Impact
Togo,ALL,Low,Medium Impact
Tonga,ALL,Low,Medium Impact
Aruba,ALL,Low,Medium Impact
Trinidad and Tobago,ALL,Low,Low Impact
Oman,ALL,Low,Low Impact
Tunisia,ALL,Low,Low Impact
Turkey,ALL,Low,Low Impact
,ALL,Low,Medium Impact
United Arab Emirates,ALL,Low,Low Impact
Uganda,ALL,Low,Serious Impact
Tuvalu,ALL,Low,Medium Impact
United Kingdom,ALL,Low,Low Impact
Belize,ALL,Low,Medium Impact
Ukraine,ALL,Low,Low Impact
United States of America,ALL,Low,Low Impact
Burkina Faso,ALL,Low,Low Impact
Uruguay,ALL,Low,Low Impact
Uzbekistan,ALL,Low,Low Impact
Venezuela (Bolivarian Republic of),ALL,Low,Low Impact
Viet Nam,ALL,Low,Low Impact
Ethiopia,ALL,Low,Low Impact
Ethiopia PDR,ALL,Low,Low Impact
British Virgin Islands,ALL,Low,Medium Impact
Wallis and Futuna Islands,ALL,Low,Medium Impact
Samoa,ALL,Low,Medium Impact
Yemen,ALL,Low,Low Impact
Yemen Ar Rp,ALL,Low,Low Impact
Yemen Dem,ALL,Low,Low Impact
Solomon Islands,ALL,Low,Medium Impact
Democratic Republic of the Congo,ALL,Low,Low Impact
Zambia,ALL,Low,Low Impact
,ALL,Low,Medium Impact
Belgium,ALL,Low,Low Impact
Belgium-Luxembourg,ALL,Low,Low Impact
Luxembourg,ALL,Low,No Impact
Anguilla,ALL,Low,Medium Impact
Brunei Darussalam,ALL,Low,Medium Impact
Bulgaria,ALL,Low,Serious Impact
Mayotte,ALL,Low,Medium Impact
Serbia,ALL,Low,Low Impact
Serbia and Montenegro,ALL,Low,Low Impact
Montenegro,ALL,Low,Medium Impact
Sudan,ALL,Low,Low Impact
South Sudan,ALL,Low,Medium Impact
Myanmar,ALL,Low,Low Impact
Burundi,ALL,Low,Medium Impact
,ALL,Low,Medium Impact
Albania,ALL,Low,Low Impact
Antarctica,ALL,Low,Medium Impact
Cameroon,ALL,Low,Medium Impact
Canada,ALL,Low,Low Impact
Cape Verde,ALL,Low,Medium Impact
China,ALL,Low,Low Impact
Cayman Islands,ALL,Low,Medium Impact
Central African Republic,ALL,Low,Medium Impact
Sri Lanka,ALL,Low,Low Impact
Chad,ALL,Low,Medium Impact
Algeria,ALL,Low,Low Impact
Chile,ALL,Low,Low Impact
Christmas Island,ALL,Low,Medium Impact
Colombia,ALL,Low,Low Impact
Comoros,ALL,Low,Medium Impact
Congo,ALL,Low,Low Impact
Cook Islands,ALL,Low,Medium Impact
Costa Rica,ALL,Low,Low Impact
Cuba,ALL,Low,Medium Impact
American Samoa,ALL,Low,Medium Impact
Cyprus,ALL,Low,Serious Impact
Azerbaijan,ALL,Low,Low Impact
Benin,ALL,Low,Medium Impact
Denmark,ALL,Low,Low Impact
Dominica,ALL,Low,Medium Impact
Dominican Republic,ALL,Low,Low Impact
Belarus,ALL,Low,Low Impact
Ecuador,ALL,Low,Low Impact
Egypt,ALL,Low,Low Impact
Andorra,ALL,Low,Medium Impact
El Salvador,ALL,Low,Low Impact
Equatorial Guinea,ALL,Low,Medium Impact
Estonia,ALL,Low,Serious Impact
Faroe Islands,ALL,Low,Medium Impact
Falkland Islands (Malvinas),ALL,Low,Medium Impact
Fiji,ALL,Low,Low Impact
Finland,ALL,Low,Low Impact
France,ALL,Low,Low Impact
Angola,ALL,Low,Low Impact
French Polynesia,ALL,Low,Medium Impact
Djibouti,ALL,Low,Medium Impact
Georgia,ALL,Low,Low Impact
Gabon,ALL,Low,Medium Impact
Gambia,ALL,Low,Medium Impact
Germany,ALL,Low,Low Impact
Germany Fr,ALL,Low,Low Impact
Germany Nl,ALL,Low,Low Impact
Antigua and Barbuda,ALL,Low,Medium Impact
Bosnia and Herzegovina,ALL,Low,Low Impact
Ghana,ALL,Low,Low Impact
Gibraltar,ALL,Low,Medium Impact
Kiribati,ALL,Low,Medium Impact
Greece,ALL,Low,Low Impact
Greenland,ALL,Low,Medium Impact
Grenada,ALL,Low,Medium Impact
Guam,ALL,Low,Medium Impact
Guatemala,ALL,Low,Low Impact
Argentina,ALL,Low,Low Impact
Guinea,ALL,Low,Low Impact
Guyana,ALL,Low,Low Impact
Haiti,ALL,Low,Medium Impact
Holy See,ALL,Low,Medium Impact
Honduras,ALL,Low,Low Impact
Hungary,ALL,Low,Serious Impact
Croatia,ALL,Low,Serious Impact
Iceland,ALL,Low,Medium Impact
Armenia,CPA,Low,Low Impact
Australia,CPA,Low,Low Impact
India,CPA,Low,Low Impact
Indonesia,CPA,Low,Low Impact
Iran (Islamic Republic of),CPA,Low,No Impact
Iraq,CPA,Low,Low Impact
Ireland,CPA,Low,Low Impact
Israel,CPA,Low,No Impact
Italy,CPA,Low,Low Impact
Cote d'Ivoire,CPA,Low,Low Impact
Kazakhstan,CPA,Low,Low Impact
Jamaica,CPA,Low,Medium Impact
Austria,CPA,Low,Low Impact
Japan,CPA,Low,Low Impact
Jordan,CPA,Low,Low Impact
Kyrgyzstan,CPA,Low,Low Impact
Kenya,CPA,Low,Low Impact
Cambodia,CPA,Low,Medium Impact
Democratic People's Republic of Korea,CPA,Low,Medium Impact
Republic of Korea,CPA,Low,Low Impact
Kuwait,CPA,Low,Medium Impact
Latvia,CPA,Low,Low Impact
Bahamas,CPA,Low,Medium Impact
Lao People's Democratic Republic,CPA,Low,Medium Impact
Lebanon,CPA,Low,Low Impact
Lesotho,CPA,Low,Medium Impact
Liberia,CPA,Low,Medium Impact
Libya,CPA,Low,Low Impact
Lithuania,CPA,Low,Low Impact
